com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
15534,4,0,26,2022-05-21 08:10:00.000,,,2022-05-21 08:10:58.741,2022-05-21 08:10:58.741,26,1.2777778,19.85,1.04,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:11:00.000,04c9d5a5-29c6-4ae9-8754-a7730ee9d297,
5059,4,0,7,2022-05-21 16:30:00.000,,,2022-05-21 16:32:05.195,2022-05-21 16:32:05.195,7,1.0277778,5.2,0.3,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 16:31:00.000,16aace12-3a8e-4ca1-90f5-043febc2889b,
10086,4,0,20,2022-05-21 14:04:00.000,,,2022-05-21 14:04:39.032,2022-05-21 14:04:39.032,20,1.5833334,15.97,0.78,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 14:05:00.000,80388ec9-94c0-47ea-89e4-d234fb22e62a,
12512,4,0,18,2022-05-21 08:00:00.000,,,2022-05-21 08:03:30.095,2022-05-21 08:03:30.095,18,1.0277778,12.86,0.76,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:01:00.000,89ec349a-2e6b-422d-a997-0573557b496a,
19975,4,0,35,2022-05-21 15:28:00.000,,,2022-05-21 15:29:41.359,2022-05-21 15:28:24.829,35,1.3165764,26.299688,1.5200171,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 15:29:00.000,1fac90d2-644f-4253-baaa-dad0c12aceb5,
18109,4,0,31,2022-05-21 17:13:00.000,,,2022-05-21 17:14:32.553,2022-05-21 17:14:32.553,31,1.2777778,23.14,1.28,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 17:14:00.000,b5a16bbb-bcd7-4032-b9e8-5dcbe0b49d12,
48426,4,0,90,2022-05-21 08:11:00.000,,,2022-05-21 08:12:46.264,2022-05-21 08:12:46.264,90,1.4444444,69.95,3.63,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:12:00.000,5b2d8783-f35e-4278-9fef-ec02b0e77382,
6560,4,0,11,2022-05-21 17:22:00.000,,,2022-05-21 17:25:42.808,2022-05-21 17:25:42.808,11,1.25,8.2,0.47,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 17:23:00.000,d86e7485-ea05-4df0-a184-cb02aeb939ea,
35951,4,0,66,2022-05-21 17:33:00.000,,,2022-05-21 17:34:59.538,2022-05-21 17:33:17.893,66,1.4060504,50.55,2.74,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 17:34:00.000,cba00dc8-4926-40d1-9005-d83b033753e1,
45209,4,0,72,2022-05-21 08:25:00.000,,,2022-05-21 08:26:02.603,2022-05-21 08:26:02.603,72,1.1944444,54.0,2.9,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:26:00.000,b24a198e-5f98-4bd9-8cad-0658d0675bcd,
12342,4,0,19,2022-05-21 07:33:00.000,,,2022-05-21 07:35:01.202,2022-05-21 07:35:01.202,19,1.1666666,14.4,0.78,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:34:00.000,3a061b81-aa30-4f0a-800a-ac59b1a31d89,
12726,4,0,19,2022-05-21 17:33:00.000,,,2022-05-21 17:35:05.651,2022-05-21 17:35:05.651,19,1.1111112,14.14,0.78,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 17:34:00.000,ad7a9e27-c445-422f-bcfc-68c40df3bb7f,
28592,4,0,48,2022-05-21 17:37:00.000,,,2022-05-21 17:42:44.207,2022-05-21 17:42:44.207,48,1.25,35.74,1.95,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 17:38:00.000,93c16c2d-d377-4f6a-8e65-fb1d8ef69934,
50453,4,0,89,2022-05-21 08:25:00.000,,,2022-05-21 08:28:22.947,2022-05-21 08:25:39.418,89,1.3465941,67.93996,3.6400135,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:26:00.000,13ebede4-2b01-43fb-a069-6db56f7a72b8,
5914,4,0,8,2022-05-21 07:37:00.000,,,2022-05-21 07:38:37.991,2022-05-21 07:38:37.991,8,0.9722222,5.75,0.35,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:38:00.000,e86e114b-3f7b-4821-ae70-1881784d2aef,
28574,4,0,55,2022-05-21 17:44:00.000,,,2022-05-21 17:45:29.118,2022-05-21 17:44:33.407,55,1.5163677,43.329998,2.22,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 17:45:00.000,3df90c5b-cc82-43da-80d0-33e9aa92db4b,
5667,4,0,9,2022-05-21 07:34:00.000,,,2022-05-21 07:35:01.225,2022-05-21 07:35:01.225,9,1.1944444,6.77,0.38,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:35:00.000,b4706cdf-eb24-48b3-8fca-6a31a108045a,
7505,4,0,10,2022-05-21 17:53:00.000,,,2022-05-21 17:53:35.909,2022-05-21 17:53:35.909,10,0.9166667,6.88,0.55,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 17:54:00.000,e42ed9b1-bcb5-42c5-ac66-ef251996953d,
60000,4,0,105,2022-05-21 08:28:00.000,,,2022-05-21 08:34:15.675,2022-05-21 08:34:15.675,105,1.3333334,80.0,4.2,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:29:00.000,44a8e883-b5f8-4ccc-82ab-5b9fa4e49a7b,
9486,4,0,13,2022-05-21 18:15:00.000,,,2022-05-21 18:16:29.520,2022-05-21 18:15:49.807,13,1.0277731,9.75,0.56,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 18:16:00.000,b662284b-846b-401e-af6c-572a9d774647,
10820,4,0,18,2022-05-21 07:38:00.000,,,2022-05-21 07:38:50.170,2022-05-21 07:38:38.152,18,1.2623662,13.66,0.75,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:39:00.000,c55e6821-7ec2-48db-9b1d-bfca6a287217,
10034,4,0,17,2022-05-21 08:34:00.000,,,2022-05-21 08:34:59.876,2022-05-21 08:34:54.118,17,1.2874956,12.920002,0.70000005,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:35:00.000,db14eb1d-6905-4bda-bd0b-f5c4705d6c4c,
43115,4,0,72,2022-05-21 07:43:00.000,,,2022-05-21 07:43:59.504,2022-05-21 07:43:16.039,72,1.2626641,54.439983,2.9399996,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:44:00.000,95034da3-5915-4ab2-b227-6fa847e3fe27,
6170,4,0,10,2022-05-21 18:14:00.000,,,2022-05-21 18:14:10.627,2022-05-21 18:14:10.627,10,1.1944444,7.370117,0.40997314,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 18:15:00.000,1253a791-180a-4e80-8f49-d73171799ecc,
57239,4,0,92,2022-05-21 07:44:00.000,,,2022-05-21 07:44:59.745,2022-05-21 07:44:00.068,92,1.2063427,69.05005,3.6899974,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:45:00.000,2a8d3b20-cdbc-4dcc-9227-c3a81ebf4f4f,
57213,4,0,105,2022-05-21 08:35:00.000,,,2022-05-21 08:41:03.068,2022-05-21 08:35:06.148,105,1.4274408,81.66939,4.2499914,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:36:00.000,1de026a5-1591-4cae-b19d-b6947e64934f,
60000,4,0,110,2022-05-21 07:40:00.000,,,2022-05-21 07:45:15.660,2022-05-21 07:45:15.660,110,1.4233333,85.4,4.42,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 07:41:00.000,6579987e-3f61-435c-b6e8-5aa43d3be6f2,
60000,4,0,108,2022-05-21 08:36:00.000,,,2022-05-21 08:55:01.229,2022-05-21 08:55:01.229,108,1.3815,82.89,4.32,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:37:00.000,2d870808-8e09-4c72-a434-aa23969a243a,
60000,4,0,108,2022-05-21 18:24:00.000,,,2022-05-21 18:25:20.608,2022-05-21 18:25:20.608,108,1.35,81.0,4.41,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 18:25:00.000,6dab5385-de2c-4765-8170-80a6f43db6aa,
15229,4,0,22,2022-05-21 08:06:00.000,,,2022-05-21 08:10:58.605,2022-05-21 08:06:27.796,22,1.0702806,16.3,0.9000001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:07:00.000,2109f5b7-91f9-4a91-9f77-06b28ecff03a,
8747,4,0,15,2022-05-21 18:23:00.000,,,2022-05-21 18:35:02.153,2022-05-21 18:35:02.153,15,1.3055556,11.42,0.62,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 18:24:00.000,31bb6935-5bd8-435b-aac9-9fe30a256d36,
42128,4,0,66,2022-05-21 08:46:00.000,,,2022-05-21 08:55:03.651,2022-05-21 08:55:03.651,66,1.1666666,49.15,2.73,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:47:00.000,cd50fe47-5d9e-43c7-abdc-9de1c1b6790b,
43567,4,0,80,2022-05-21 18:29:00.000,,,2022-05-21 18:36:17.626,2022-05-21 18:36:17.626,80,1.4166666,61.72,3.23,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 18:30:00.000,80efe296-704c-4a9f-80bd-9a2ab571748c,
8705,4,0,14,2022-05-21 07:48:00.000,,,2022-05-21 07:48:50.978,2022-05-21 07:48:50.978,14,1.2222222,10.64,0.54,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 07:49:00.000,379d644f-320b-4ee2-9b23-cfe42b50e351,
6541,4,0,10,2022-05-21 18:50:00.000,,,2022-05-21 18:55:02.279,2022-05-21 18:55:02.279,10,1.1388888,7.45,0.42,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 18:51:00.000,05e07ddd-ab64-4baf-a05c-e0a8eea65791,
12687,4,0,20,2022-05-21 08:47:00.000,,,2022-05-21 08:49:44.320,2022-05-21 08:49:44.320,20,1.1388888,14.45,0.87,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:48:00.000,f29d3ba5-cc80-4cb5-9980-b170454e1bf9,
11370,4,0,16,2022-05-21 18:48:00.000,,,2022-05-21 18:48:38.827,2022-05-21 18:48:38.827,16,1.0,11.37,0.66,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 18:49:00.000,daf86933-9486-49bc-8a31-5eb59492ea86,
