com.samsung.shealth.tracker.pedometer_day_summary,6212007,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
9623,30df4390-ed51-44f8-9272-08bf8017e92d.binning_data.json,5525688,6000,36,2022-04-23 22:00:02.025,com.sec.android.app.shealth,2022-04-22 22:07:12.644,,1.3347476,7375.4,391.68997,9587,3JD7PDJoKB,com.sec.android.app.shealth,0,30df4390-ed51-44f8-9272-08bf8017e92d.achievement.json,30df4390-ed51-44f8-9272-08bf8017e92d,1650672000000,
1778,dbe4876b-b3c1-4f11-b78a-01369825abec.binning_data.json,1096152,6000,1,2022-04-17 22:00:02.147,com.sec.android.app.shealth,2022-04-17 22:00:02.147,,1.2298564,1348.11,73.57,1777,3JD7PDJoKB,com.sec.android.app.shealth,0,dbe4876b-b3c1-4f11-b78a-01369825abec.achievement.json,dbe4876b-b3c1-4f11-b78a-01369825abec,1650153600000,
17640,8d2fa51e-1057-4b0d-996a-7af9c77aeaf4.binning_data.json,9518057,6000,1183,2022-04-21 22:00:03.966,com.sec.android.app.shealth,2022-04-20 22:00:05.508,,1.44505,13754.07,770.8213,16457,SumqgnI0Fz,com.sec.android.app.shealth,0,8d2fa51e-1057-4b0d-996a-7af9c77aeaf4.achievement.json,8d2fa51e-1057-4b0d-996a-7af9c77aeaf4,1650412800000,
18320,5ce55cc1-2a84-4f2c-94e3-3516d3821709.binning_data.json,9663284,6000,1480,2022-04-13 22:55:36.181,com.sec.android.app.shealth,2022-04-12 22:10:26.831,5ce55cc1-2a84-4f2c-94e3-3516d3821709.source_info.json,1.5245594,14732.251,830.6606,16840,VfS0qUERdZ,com.sec.android.app.shealth,0,5ce55cc1-2a84-4f2c-94e3-3516d3821709.achievement.json,5ce55cc1-2a84-4f2c-94e3-3516d3821709,1649808000000,
6503,1cbb6b61-8eca-46da-964a-52022c4047b3.binning_data.json,3557023,6000,0,2022-04-19 22:00:06.106,com.sec.android.app.shealth,2022-04-19 22:00:06.106,,1.4146981,5032.115,262.28558,6503,SumqgnI0Fz,com.sec.android.app.shealth,0,1cbb6b61-8eca-46da-964a-52022c4047b3.achievement.json,1cbb6b61-8eca-46da-964a-52022c4047b3,1650326400000,
2955,db20806f-c601-4962-a40e-cd53e7644e63.binning_data.json,1694800,6000,5,2022-04-14 23:23:50.641,com.sec.android.app.shealth,2022-04-13 22:55:02.397,db20806f-c601-4962-a40e-cd53e7644e63.source_info.json,1.3277637,2250.295,119.86073,2950,VfS0qUERdZ,com.sec.android.app.shealth,0,db20806f-c601-4962-a40e-cd53e7644e63.achievement.json,db20806f-c601-4962-a40e-cd53e7644e63,1649894400000,
3144,cd3fae23-34fe-4814-9efa-8e02d55f68f3.binning_data.json,1803007,6000,8,2022-04-22 22:07:13.803,com.sec.android.app.shealth,2022-04-21 22:00:03.840,,1.3278927,2394.2002,128.62006,3136,SumqgnI0Fz,com.sec.android.app.shealth,0,cd3fae23-34fe-4814-9efa-8e02d55f68f3.achievement.json,cd3fae23-34fe-4814-9efa-8e02d55f68f3,1650499200000,
6458,37ef4881-0ec0-47f3-afd8-e101c105e3e8.binning_data.json,3556739,6000,0,2022-04-19 22:00:03.279,com.sec.android.app.shealth,2022-04-19 22:00:03.279,,1.3996358,4978.1396,259.8,6458,3JD7PDJoKB,com.sec.android.app.shealth,0,37ef4881-0ec0-47f3-afd8-e101c105e3e8.achievement.json,37ef4881-0ec0-47f3-afd8-e101c105e3e8,1650326400000,
11268,af03a30f-0cc5-4177-87dc-a293fde34f29.binning_data.json,6144955,6000,1280,2022-04-22 22:07:12.677,com.sec.android.app.shealth,2022-04-22 22:07:12.677,,1.5388395,9456.1,550.29,9988,3JD7PDJoKB,com.sec.android.app.shealth,0,af03a30f-0cc5-4177-87dc-a293fde34f29.achievement.json,af03a30f-0cc5-4177-87dc-a293fde34f29,1650585600000,
15589,56bc8507-d25d-4692-b8c3-21a9469d6cb5.binning_data.json,9093420,6000,68,2022-04-24 22:00:42.257,com.sec.android.app.shealth,2022-04-24 22:00:42.257,,1.3127798,11937.66,634.98,15521,3JD7PDJoKB,com.sec.android.app.shealth,0,56bc8507-d25d-4692-b8c3-21a9469d6cb5.achievement.json,56bc8507-d25d-4692-b8c3-21a9469d6cb5,1650758400000,
