com.samsung.health.food_info,6212007,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
143.0,2.0,7.0,0.0,0.0,"1716 kcal, per 2068g",,default-fatsecret-5068,100,166.0,1.4,0.47,2022-04-01 13:57:43.928,2022-04-01 13:57:43.928,0.069,3.05,0.171,6.0,Pasta al Pomodoro,2.56,0.0,2.0,83.0,g,,3JD7PDJoKB,g,0.089,,com.sec.android.app.shealth,16.76,1.2038835,d3ac7924-17a8-4ee8-9a94-7a2ac3e1e7b2,100,
,0.0,0.0,0.0,,"20 kcal, per 1 caramella (5g)",,fatsecret-3188656,5,,,1.0,2022-04-08 10:47:00.250,2022-04-08 10:47:00.250,,0.0,,0.0,Caramella Mou(Elah-Dufour),4.0,,0.0,20.0,porzione,,3JD7PDJoKB,g,,,com.sec.android.app.shealth,4.0,0.25,98858539-395c-4218-b0a7-a76f0fc094d3,1,
,0.0,0.0,0.0,,"131 kcal, per 1 gelato (32g)",,fatsecret-27339149,32,60.0,,8.9,2022-04-15 19:53:56.062,2022-04-15 13:12:01.348,,2.0,,0.0,Bueno Ice Cream Bar(Kinder),9.8,,0.0,131.0,porzione,,3JD7PDJoKB,g,4.7,,com.sec.android.app.shealth,10.0,0.24427481,5d688850-cbec-4c70-b3e1-7a8ef5eb6909,1,
110.0,0.0,0.0,0.0,0.0,"271 kcal, per 100g",,default-fatsecret-38793,100,584.0,2.7,3.5,2022-04-01 13:57:43.928,2022-04-01 13:57:43.928,0.812,8.8,1.39,16.0,Pane Italiano,0.83,0.0,8.0,271.0,g,,3JD7PDJoKB,g,0.855,,com.sec.android.app.shealth,50.0,0.36818182,7beadc54-08aa-4d38-852b-c9b6c82a2af8,100,
161.0,1.1111112,0.5555556,5.0,8.0,"1930 kcal, per 918g",,fatsecret-6012847,100,278.0,1.3,4.92,2022-04-09 13:09:06.054,2022-04-09 13:09:06.054,2.427,15.05,1.21,10.777778,Pasta al Tonno,0.88,,1.3076923,210.0,g,,3JD7PDJoKB,g,0.831,,com.sec.android.app.shealth,25.42,0.47524753,86b24b65-a40a-436d-9863-8af1343c4266,100,
,0.0,0.0,0.0,,"61 kcal, per 100g",,fatsecret-5797381,100,,,0.1,2022-04-09 10:25:22.745,2022-04-05 09:36:30.770,,0.2,,0.0,Succo Mela Banana(Yoga),,,0.0,61.0,porzione,,3JD7PDJoKB,g,,,com.sec.android.app.shealth,14.4,1.6393442,45e8158a-9d57-479f-a723-841abf0cd535,1,
,0.0,0.0,0.0,,"15 kcal, per 1 biscotto (15g)",,fatsecret-1621679,15,,,0.8,2022-04-10 08:00:07.581,2022-04-10 07:56:05.721,,0.2,,0.0,Lingue di Gatto(Colussi),,,0.0,15.0,porzione,,3JD7PDJoKB,g,,,com.sec.android.app.shealth,1.7,1.0,73b5a190-0efc-4247-852c-35ef301ac2b1,1,
102.0,6.3333335,0.22222222,0.0,29.0,"1700 kcal, per 459g",,fatsecret-4908,100,690.0,1.7,13.09,2022-04-15 19:53:56.051,2022-04-05 20:55:26.616,4.702,15.05,0.91,16.61111,Pizza Bianca,0.96,,21.538462,370.0,g,,3JD7PDJoKB,g,6.666,,com.sec.android.app.shealth,46.84,0.27018633,5afbf8e8-9cb6-4844-a297-8632748f4738,100,
85.0,0.11111111,0.11111111,0.0,17.0,"248 kcal, per 100g",,fatsecret-1502,21,46.0,0.0,3.06,2022-04-10 12:32:40.808,2022-04-10 12:32:40.808,1.361,5.67,0.253,1.1666666,Arrosto di Maiale,0.0,,0.30769232,52.0,"fetta sottile (circa 11 cm x 6,5 cm x 0,3 cm)",,3JD7PDJoKB,g,1.123,,com.sec.android.app.shealth,0.0,0.40384614,85821a1a-64c2-4047-a8d9-4a5d728491cd,1,
432.0,11.333333,25.11111,0.0,0.0,"167 kcal, per 166g",,fatsecret-6670,165,406.0,8.7,4.04,2022-04-06 10:39:15.734,2022-04-06 10:39:15.734,1.772,8.55,1.244,13.666667,Piselli Cotti,9.45,,3.3076923,167.0,"tazza, freschi, surgelati o in scatola",,3JD7PDJoKB,g,0.754,,com.sec.android.app.shealth,25.01,0.98802394,6d25932d-9b6d-404e-b84f-dbd10da28c1b,1,
