com.samsung.shealth.food_favorite,6212007,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2022-04-14 14:28:44.712,2022-04-14 14:28:44.712,fb805464-063c-47a6-817f-52fa42936a0b,,fb805464-063c-47a6-817f-52fa42936a0b,0.0,3JD7PDJoKB,com.sec.android.app.shealth,bff38700-bf46-455d-8579-0932af40b722,fabbebc4-f905-4018-8a6c-1466725e2627,
0.0,2,2022-04-15 19:53:56.126,2022-04-15 19:53:56.126,3a4b0a7e-e2d9-421f-8e2e-f7208e8f03df,,3a4b0a7e-e2d9-421f-8e2e-f7208e8f03df,0.0,3JD7PDJoKB,com.sec.android.app.shealth,1d500b90-8de9-4be9-aa9e-5e412f1c5679,5d688850-cbec-4c70-b3e1-7a8ef5eb6909,
0.0,2,2022-04-13 07:11:02.503,2022-04-13 07:11:02.503,dbf0e0fc-993d-4f09-afe0-ba5e7be7f4c6,,dbf0e0fc-993d-4f09-afe0-ba5e7be7f4c6,0.0,3JD7PDJoKB,com.sec.android.app.shealth,b51be8f7-4fbb-4601-995a-ed3073a75353,bc7edd2f-bc04-4d54-9a7f-e7e72638610f,
0.0,2,2022-04-15 09:35:39.556,2022-04-15 09:35:39.556,e7f790ce-9d53-4c38-a414-de4ca4a47bb6,,e7f790ce-9d53-4c38-a414-de4ca4a47bb6,0.0,3JD7PDJoKB,com.sec.android.app.shealth,6a3496ca-e3cd-44f8-9cbe-c792abcb8d6c,1a81415c-5dad-4cb5-bcee-d59c6cef30af,
0.0,2,2022-04-05 09:36:30.852,2022-04-05 09:36:30.852,3bcaba17-dcc8-44ae-9b81-1fe7b9434ebe,,3bcaba17-dcc8-44ae-9b81-1fe7b9434ebe,0.0,3JD7PDJoKB,com.sec.android.app.shealth,104f40ea-e45c-44b5-9f8f-35fcbd9e5d67,45e8158a-9d57-479f-a723-841abf0cd535,
0.0,2,2022-04-14 08:31:51.204,2022-04-14 08:31:51.204,88c3ebae-5d98-4846-86d7-45be5acb81f8,,88c3ebae-5d98-4846-86d7-45be5acb81f8,0.0,3JD7PDJoKB,com.sec.android.app.shealth,95927d51-c87d-4be3-9cd4-cad56aa416c0,2b876055-4ea0-4a5a-bb79-b45e71ea6222,
0.0,2,2022-04-15 18:11:18.842,2022-04-15 18:11:18.842,3d3aac71-aab9-43a3-b07b-0ed6577431e0,,3d3aac71-aab9-43a3-b07b-0ed6577431e0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,c75f549f-8970-4f5b-9255-a917c0217fd9,fdab0a03-dc62-45c8-a0aa-edef52ca63c0,
0.0,2,2022-04-15 19:53:56.127,2022-04-15 19:53:56.127,3a4b0a7e-e2d9-421f-8e2e-f7208e8f03df,,3a4b0a7e-e2d9-421f-8e2e-f7208e8f03df,0.0,3JD7PDJoKB,com.sec.android.app.shealth,c8ae51e6-59b8-4274-8e14-6c188aea428a,d4ed5b0a-3f72-4cda-a1bc-176d595f0169,
0.0,2,2022-04-14 08:35:15.032,2022-04-14 08:35:15.032,4ff41897-5034-4e8c-b77d-8bd2526c7b94,,4ff41897-5034-4e8c-b77d-8bd2526c7b94,0.0,3JD7PDJoKB,com.sec.android.app.shealth,02ae5200-807f-445d-825d-aec8fe212137,53b3e0f7-81cf-4370-86f8-0162af37f35d,
0.0,2,2022-04-05 10:51:35.401,2022-04-05 10:51:35.401,631d144c-90e5-41cd-baad-5e1a48c237c0,,631d144c-90e5-41cd-baad-5e1a48c237c0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,c91a559e-38c0-4e9f-9d85-b2ae2ec579d3,e2c1077f-1cdf-4db6-9a4e-12919c36c371,
