com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,90,0,2022-04-01 13:57:47.072,2022-04-01 13:57:47.072,-1,0,0,0.0,0.0,8175c261-82dd-4f5c-a951-38a0f5af6e3b.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,8175c261-82dd-4f5c-a951-38a0f5af6e3b,1646697600000,
0,0,90,0,2022-04-01 13:57:47.099,2022-04-01 13:57:47.099,-1,0,0,0.0,0.0,d6b613ad-0dc6-45d3-a826-850c251d9ce8.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,d6b613ad-0dc6-45d3-a826-850c251d9ce8,1646784000000,
0,0,90,0,2022-04-01 13:57:47.388,2022-04-01 13:57:47.388,-1,0,0,0.0,0.0,9a78b28b-e45f-40ef-b8e6-fe01b7ce31b2.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,9a78b28b-e45f-40ef-b8e6-fe01b7ce31b2,1647648000000,
0,0,90,0,2022-04-01 13:57:47.239,2022-04-01 13:57:47.239,-1,0,0,0.0,0.0,5f98dcf0-b04a-4222-a349-b9a4b9578740.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,5f98dcf0-b04a-4222-a349-b9a4b9578740,1647129600000,
0,0,90,0,2022-04-01 13:57:47.146,2022-04-01 13:57:47.146,-1,0,0,0.0,0.0,06fa4af7-30e3-4400-aa8c-f70f3aab55ab.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,06fa4af7-30e3-4400-aa8c-f70f3aab55ab,1646870400000,
0,0,90,0,2022-04-01 13:57:47.278,2022-04-01 13:57:47.278,-1,0,0,0.0,0.0,e24efbaf-ad81-4642-9070-6acce8337bfc.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,e24efbaf-ad81-4642-9070-6acce8337bfc,1647302400000,
0,0,90,0,2022-04-01 13:57:47.629,2022-04-01 13:57:47.629,-1,0,0,0.0,0.0,bb480ccc-fafc-40cc-ad9e-9f69fa677036.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,bb480ccc-fafc-40cc-ad9e-9f69fa677036,1648598400000,
0,0,90,0,2022-04-01 13:57:47.459,2022-04-01 13:57:47.459,-1,0,0,0.0,0.0,8ddf74db-ecd9-4cfb-886e-2042c804a3e7.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,8ddf74db-ecd9-4cfb-886e-2042c804a3e7,1647907200000,
0,0,90,0,2022-04-01 13:57:47.530,2022-04-01 13:57:47.530,-1,0,0,0.0,0.0,6a6e5ba5-ea17-40e6-bcc5-070022b645b8.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,6a6e5ba5-ea17-40e6-bcc5-070022b645b8,1648166400000,
0,0,90,0,2022-04-01 13:57:47.477,2022-04-01 13:57:47.477,-1,0,0,0.0,0.0,1252fab4-5792-454a-aecf-08c75f3c8b19.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,1252fab4-5792-454a-aecf-08c75f3c8b19,1647993600000,
