com.samsung.health.food_intake,6212007,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2022-04-06 16:00:00.000,800.0,,2022-04-06 20:51:47.751,2022-04-06 20:51:47.751,100003,Sushi,120002,1138.4615,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,75016058-97c8-428b-8df5-58e5feffdd18,f08905c8-b199-400e-972f-5ede36600969,
2022-04-11 05:59:09.262,30.0,,2022-04-11 06:01:03.615,2022-04-11 06:01:03.615,100001,"Protein Berries, Granola & Seeds(Kellogg's)",120002,111.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,badbd9f8-04c5-4a50-95d1-c56f64d504eb,1a81415c-5dad-4cb5-bcee-d59c6cef30af,
2022-04-15 19:49:47.416,80.0,,2022-04-15 19:53:56.077,2022-04-15 19:53:56.077,100003,Riso,120002,284.8,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,4bb8689a-4820-4da1-b03b-6910b6613e08,d595c1ce-6f48-47a2-b792-7be5a6718553,
2022-04-07 19:06:49.552,1.0,,2022-04-07 19:12:02.677,2022-04-07 19:12:02.677,100003,Pizza Speck e Provola(Cerealia),120001,248.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,83d917a9-3483-4ece-8d65-794cea4874bd,ada39d25-9a44-4459-8aa9-76204e902c2c,
2022-04-11 10:00:00.000,1.0,,2022-04-11 18:49:04.596,2022-04-11 18:49:04.596,100002,Mela,120001,72.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,d2484d73-bcbc-4e03-851f-107164108a5b,231fd50f-c92c-4ff5-95d3-59e0563e7e7c,
2022-04-12 07:13:14.457,125.0,,2022-04-12 07:14:07.872,2022-04-12 07:14:07.872,100001,Yogurt Intero Bianco(Colle Maggio),120002,86.25,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,91cc27db-0e47-4542-bc53-940c8d85cf05,ddfbe850-ae68-4a67-af3a-f48a5ea89a9b,
2022-04-05 08:00:00.000,5.0,,2022-04-05 10:51:35.360,2022-04-05 10:51:35.360,100004,Frollini con Panna(I Tesori Del Forno),120002,22.6,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,d7c68ae0-06bc-46bf-8e50-ac5cdf3a6b6a,e2ffd0a6-22d0-4f5e-a396-7d5c2540aee0,
2022-04-13 07:10:27.549,150.0,,2022-04-13 07:11:02.473,2022-04-13 07:11:02.473,100001,Yogurt Bianco Cremoso(Buongiorno Natura),120002,94.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,b43a33c9-61f0-4f49-89bf-64e78b5b2182,df129ce4-1197-4c60-8a5c-dac3170fc367,
2022-04-05 16:00:00.000,100.0,,2022-04-05 20:55:26.633,2022-04-05 20:55:26.633,100003,Petto di Pollo,120002,195.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,7227365f-84fe-4cfe-9743-247772a84232,74bc5197-e7e9-4b0e-8e27-bca46649a6df,
2022-04-13 19:00:00.000,1.0,,2022-04-13 23:37:34.841,2022-04-13 23:37:34.841,100006,Fiesta(Ferrero),120001,163.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,21ebb456-c75a-468e-8fa4-f267f8f9ce95,8a05eb0b-3cf9-4650-a98d-d464cb34cedc,
