com.samsung.health.floors_climbed,6212007,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-05-05 12:29:32.000,,2022-05-05 12:30:38.657,2022-05-05 12:29:44.074,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-05 12:29:49.999,b17fe29e-c689-4e84-9f32-613d07926d44,
2022-05-07 13:56:14.001,,2022-05-07 13:56:51.129,2022-05-07 13:56:51.129,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-07 13:56:20.001,514b6d1b-20c6-4b30-9a15-9468e7c4ca54,
2022-04-22 23:24:39.999,,2022-04-22 23:26:04.311,2022-04-22 23:26:04.311,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-22 23:24:51.999,bed77f52-74ae-4a75-aa37-d87cfca112e5,
2022-05-07 13:36:47.000,,2022-05-07 13:37:16.174,2022-05-07 13:37:16.174,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-07 13:36:53.000,61c77a8a-b3e3-4d90-935c-c2fae9fe10fb,
2022-05-09 14:24:04.000,,2022-05-09 14:25:05.420,2022-05-09 14:25:05.241,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-09 14:24:32.000,ec0a0bfa-bded-45f9-8441-82cf81e2f241,
2022-04-24 13:18:08.000,,2022-04-24 13:18:39.923,2022-04-24 13:18:39.923,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-24 13:18:14.000,0ac6c254-cb84-4738-a42d-8d287448a978,
2022-05-11 17:12:12.000,,2022-05-11 17:12:28.188,2022-05-11 17:12:16.921,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-11 17:12:22.000,b393afe4-83a7-437f-98cf-0f84775c81e9,
2022-04-27 12:54:04.999,,2022-04-27 12:54:41.403,2022-04-27 12:54:41.218,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-27 12:54:37.001,edf07219-424d-4275-a8b4-6f06242fe102,
2022-05-23 14:45:36.000,,2022-05-23 14:46:56.121,2022-05-23 14:46:56.121,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-23 14:45:56.000,68eea7f4-aae3-49ad-8778-5409557fb24b,
2022-04-30 13:54:27.001,,2022-04-30 13:57:48.265,2022-04-30 13:57:48.167,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-30 13:55:03.000,82650e70-521f-4973-a4de-de7385361ba8,
2022-05-27 08:50:44.000,,2022-05-27 08:51:02.422,2022-05-27 08:51:02.422,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-27 08:50:57.000,2eacb51e-d2e6-4a1b-926c-e4dc5f2971bc,
2022-05-04 10:12:38.999,,2022-05-04 10:13:17.598,2022-05-04 10:13:17.598,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-04 10:12:45.999,6a0e6ee8-68c3-4573-9bd6-77fcc9fb713e,
2022-04-11 06:44:11.000,,2022-04-11 06:48:08.079,2022-04-11 06:48:08.079,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-11 06:44:18.000,fbf453b7-15fb-43fa-9047-99fe0d494d95,
2022-05-28 15:25:59.000,,2022-05-28 15:27:29.834,2022-05-28 15:27:29.834,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-28 15:26:24.000,4e073fed-4faf-440c-ba09-10843f76021b,
2022-04-15 17:09:46.000,,2022-04-15 17:09:54.654,2022-04-15 17:09:54.654,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-15 17:09:53.000,14ff83d5-e4a5-44d4-a3c3-6155fe4397e6,
2022-05-06 09:14:52.000,,2022-05-06 09:15:04.212,2022-05-06 09:14:59.133,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-06 09:15:04.000,896fe1d8-70a3-4986-aa54-9d0468aad782,
2022-05-28 15:48:47.000,,2022-05-28 15:49:01.270,2022-05-28 15:49:01.270,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-28 15:48:54.000,633c3b8c-16ba-46f1-83ea-9f4922a3689d,
2022-04-18 06:55:53.999,,2022-04-18 06:56:19.381,2022-04-18 06:56:19.105,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-18 06:56:18.999,10f3d42c-2741-4bf4-be1b-f6cde9a15b5d,
2022-05-07 18:09:10.000,,2022-05-07 18:09:45.580,2022-05-07 18:09:45.580,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-07 18:09:15.000,d00690d9-dc7d-4221-a4c8-2bcaa81fbc81,
2022-04-20 17:28:17.001,,2022-04-20 17:29:02.896,2022-04-20 17:29:02.896,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-20 17:28:32.001,6123ef0d-270e-44c3-84e3-fc15995cc198,
2022-05-01 21:44:57.000,,2022-05-01 21:45:32.401,2022-05-01 21:45:32.401,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-01 21:45:05.000,17f59c77-3bdd-407e-9648-677088c6ca45,
2022-05-09 18:45:21.001,,2022-05-09 18:45:29.143,2022-05-09 18:45:29.143,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-09 18:45:28.001,200e581a-9e48-4c86-830a-1276ad68833b,
2022-04-23 13:01:44.000,,2022-04-23 13:06:08.050,2022-04-23 13:06:07.914,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-23 13:02:06.999,93c93e83-e46e-4581-863f-ee150b786485,
2022-05-04 11:24:53.001,,2022-05-04 11:25:10.681,2022-05-04 11:25:10.681,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-04 11:25:10.001,e3494a9a-a560-449a-bf6d-9e46a3e437c7,
2022-05-20 16:42:50.001,,2022-05-20 16:44:06.510,2022-05-20 16:44:06.269,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-20 16:43:04.999,861a5389-5609-4e10-97e3-1f7084da2284,
2022-04-24 13:18:40.000,,2022-04-24 13:19:15.214,2022-04-24 13:19:15.214,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-24 13:18:53.000,8c9b5f7a-df12-4124-8301-e438f232eb50,
2022-05-07 06:53:05.000,,2022-05-07 06:53:42.032,2022-05-07 06:53:41.933,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-07 06:53:35.000,daeb291d-d104-4a7e-b668-de595af96266,
2022-04-27 20:22:32.000,,2022-04-27 20:24:48.447,2022-04-27 20:24:48.447,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-27 20:22:47.000,110a1c2a-9ac9-4264-bc99-20491b8577c9,
2022-05-08 17:10:12.001,,2022-05-08 17:12:28.149,2022-05-08 17:10:44.866,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-08 17:10:48.000,6308f51f-03e6-4fb8-9f56-57b4df04ac0a,
2022-05-23 17:20:43.000,,2022-05-23 17:22:13.837,2022-05-23 17:22:13.837,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-23 17:21:08.000,48df34ab-8732-4a7d-9bd5-824c08d8c1cd,
2022-04-30 18:15:01.001,,2022-04-30 18:15:40.948,2022-04-30 18:15:40.948,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-30 18:15:08.001,61010c64-6544-4759-8fd3-ceb078dc1379,
2022-05-10 15:39:50.000,,2022-05-10 15:40:21.105,2022-05-10 15:40:20.548,3.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-10 15:40:10.000,6fea6e99-2eed-40a1-9e92-2c5fb0a30a3f,
2022-05-27 10:47:39.000,,2022-05-27 10:48:09.726,2022-05-27 10:48:09.726,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-27 10:47:44.000,5abb3b72-a4bd-4615-9fe1-809adb4f481c,
2022-05-04 10:13:20.000,,2022-05-04 10:13:26.420,2022-05-04 10:13:26.420,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-04 10:13:26.000,f01b5efc-7b46-4098-8311-51e86332313b,
2022-05-22 18:46:00.000,,2022-05-22 18:53:10.857,2022-05-22 18:53:10.857,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-22 18:46:07.000,ef83c122-0aca-433e-9cc2-fe108956485e,
2022-05-28 15:27:36.999,,2022-05-28 15:28:02.647,2022-05-28 15:28:02.647,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-28 15:27:54.999,519fd714-abe3-4eca-91f1-ca22a1bccf77,
2022-05-06 17:39:58.001,,2022-05-06 17:40:04.134,2022-05-06 17:40:04.134,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-06 17:40:03.001,e77133b9-e294-4457-a558-bf7e53999f61,
2022-05-25 06:50:37.000,,2022-05-25 06:51:46.261,2022-05-25 06:51:07.549,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-25 06:51:11.999,ade2fb13-5bb7-4557-8e9c-21945fc4dbcc,
2022-05-28 16:25:37.000,,2022-05-28 16:27:30.786,2022-05-28 16:26:29.572,3.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-28 16:26:49.000,8c822243-dd81-4d56-9b8e-d16d7d85e47d,
2022-05-08 00:06:40.000,,2022-05-08 00:06:54.262,2022-05-08 00:06:54.262,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-08 00:06:45.000,07e0bde7-5c95-4c81-8970-3c02cbf0ed84,
2022-05-27 19:04:34.000,,2022-05-27 19:04:46.528,2022-05-27 19:04:40.503,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-27 19:04:46.000,504b8a92-dff7-42ba-b066-104c80c41c08,
2022-05-30 21:50:16.000,,2022-05-30 21:50:23.236,2022-05-30 21:50:23.236,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-30 21:50:23.000,310c7ea0-8131-495c-b5da-68c0886f6119,
2022-05-09 18:45:51.000,,2022-05-09 18:47:18.375,2022-05-09 18:47:18.375,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-09 18:46:02.000,f25870aa-1e8f-4dbd-a812-7c4d49e6dd7f,
2022-05-28 15:32:47.000,,2022-05-28 15:33:14.945,2022-05-28 15:33:14.945,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-28 15:33:03.000,03ee6e6f-6cd2-4465-a50b-a9810b2baf39,
2022-06-04 14:48:41.000,,2022-06-04 14:50:23.517,2022-06-04 14:50:23.391,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-04 14:49:15.001,449527b4-c2a7-42fa-a65d-2d58598eda80,
2022-05-21 22:15:14.000,,2022-05-21 22:15:41.772,2022-05-21 22:15:41.772,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 22:15:20.000,fd136716-06f9-4a72-978b-2c94f226d510,
2022-05-09 00:39:31.000,,2022-05-09 00:43:27.087,2022-05-09 00:43:26.831,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-09 00:40:25.001,5c5a7dfb-c2e5-4a6c-930a-fc6c1ace5c4a,
2022-05-30 10:52:50.001,,2022-05-30 10:56:27.131,2022-05-30 10:56:27.131,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-30 10:53:05.001,a1f54ddf-41fb-47ff-a2c0-72aadf42bb4e,
2022-06-08 14:23:53.999,,2022-06-08 14:25:34.461,2022-06-08 14:25:34.461,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-08 14:24:01.999,f0769d65-7deb-4880-afbf-772e9b33ea9d,
2022-05-11 15:15:13.000,,2022-05-11 15:18:05.586,2022-05-11 15:18:05.586,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-11 15:15:20.000,3f790a9d-3ca3-44c3-8ae2-91fd81a8ddc5,
2022-06-03 10:24:22.999,,2022-06-03 10:25:05.436,2022-06-03 10:25:05.436,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-03 10:24:40.999,0bac1bc7-3a12-4037-bd6d-c0fa09959134,
2022-06-11 14:50:26.000,,2022-06-11 14:51:23.415,2022-06-11 14:51:23.298,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-11 14:50:53.001,cc927c92-f2c6-4508-96f7-c1f90b435896,
2022-05-23 11:18:03.000,,2022-05-23 11:18:32.806,2022-05-23 11:18:32.806,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-23 11:18:11.000,865dd3c0-36a6-46bd-ab7e-f2d40145ca56,
2022-06-07 07:07:26.999,,2022-06-07 07:08:47.155,2022-06-07 07:08:46.986,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-07 07:07:57.999,ab72def8-1e48-48ba-98aa-b8d9d424c75f,
