com.samsung.health.sleep_stage,6212007,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-04-09 20:48:00.000,692fec87-f8ba-4bfb-80d9-e9169f0045c9,,2022-04-09 23:17:33.730,2022-04-09 23:17:33.730,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-09 20:49:00.000,3fdeb51e-5378-4408-9384-f1a7514f787a,
2022-04-17 14:00:00.000,de2b8434-64f0-4176-8d66-6a6f86c1f732,,2022-04-17 15:30:55.132,2022-04-17 15:30:55.132,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-17 14:05:00.000,235e88d8-e5fe-4b99-8e31-93df51d40471,
2022-04-09 21:47:00.000,692fec87-f8ba-4bfb-80d9-e9169f0045c9,,2022-04-09 23:17:33.731,2022-04-09 23:17:33.731,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-09 21:48:00.000,391f4bf1-da17-4723-a019-c8b1bfc5fcc5,
2022-05-01 14:01:00.000,50fe2284-2ed2-447d-ba53-ed3a15d585ab,,2022-05-01 15:20:08.163,2022-05-01 15:20:08.163,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-01 14:11:00.000,94850d39-205b-43f4-96aa-c337aa9c569c,
2022-05-01 14:37:00.000,50fe2284-2ed2-447d-ba53-ed3a15d585ab,,2022-05-01 15:20:08.164,2022-05-01 15:20:08.164,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-01 14:40:00.000,fc1bc54d-fefc-410f-9aaa-2837077e19b9,
2022-04-09 22:57:00.000,692fec87-f8ba-4bfb-80d9-e9169f0045c9,,2022-04-09 23:17:33.732,2022-04-09 23:17:33.732,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-09 23:10:00.000,c68053f4-3a95-40ca-bc1a-0b769343bad9,
2022-05-07 14:36:00.000,f19b16fd-38e8-46a4-9b9d-901a2a8b3050,,2022-05-07 16:22:13.594,2022-05-07 16:22:13.594,40003,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-07 14:45:00.000,f11fd7ab-a0ba-4d67-bfa5-e538021c5379,
2022-05-07 14:59:00.000,f19b16fd-38e8-46a4-9b9d-901a2a8b3050,,2022-05-07 16:22:13.603,2022-05-07 16:22:13.603,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-07 15:00:00.000,3b588c1d-15ef-4689-a877-4bf35bea3477,
2022-04-11 13:57:00.000,2c7a20e7-ad88-43b9-b56e-c683a0e601cb,,2022-04-11 15:49:12.498,2022-04-11 15:49:12.498,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-11 13:58:00.000,c5fc46e6-97da-4db0-9e92-66ae737ec31f,
2022-05-07 15:43:00.000,f19b16fd-38e8-46a4-9b9d-901a2a8b3050,,2022-05-07 16:22:13.604,2022-05-07 16:22:13.604,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-07 15:44:00.000,3a08d6c7-8f95-48f1-afb6-de2ff48971c5,
2022-04-13 13:39:00.000,51be76e8-da94-42c0-99be-a95cabdc8eb4,,2022-04-13 14:42:20.315,2022-04-13 14:42:20.315,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-13 13:58:00.000,d4f3ec9e-15ad-4026-90c7-182fbd8f8f1d,
2022-05-13 15:48:00.000,3698806f-882d-4df0-9add-93a669e6d599,,2022-05-13 16:43:17.354,2022-05-13 16:43:17.354,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-13 15:55:00.000,a42cf79b-4795-448d-951e-115eca8c2e51,
2022-05-19 13:44:00.000,ec9f60eb-80c4-4566-a62f-b0a32360cb32,,2022-05-19 14:42:10.851,2022-05-19 14:42:10.851,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-19 13:54:00.000,03009ca9-5425-4d6a-af98-7ee8d3e1f0db,
2022-04-13 14:12:00.000,51be76e8-da94-42c0-99be-a95cabdc8eb4,,2022-04-13 14:42:20.316,2022-04-13 14:42:20.316,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-13 14:18:00.000,ec61424e-66db-44d7-8785-d938de1c13f6,
