com.samsung.shealth.food_frequent,6212007,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.95,2022-04-01 13:57:43.937,2022-04-01 13:57:43.937,0.95,0.95,0.95,3JD7PDJoKB,com.sec.android.app.shealth,0.95,fdbe073d-7e6d-4bbe-b058-fe7d1dda0a68,a51807e1-57fe-4a85-9aaa-a24f9875a6a1,0.95,
1.0,2022-04-09 10:24:02.409,2022-04-09 10:24:02.409,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,523a6ef0-8c8e-487d-ad41-f185c46ff8f8,69e42880-0ac5-4529-9dfb-a465e8a55829,0.0,
0.0,2022-04-15 19:53:56.084,2022-04-14 14:30:00.363,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,72ae3990-8c0c-483d-958d-744a3785221f,d595c1ce-6f48-47a2-b792-7be5a6718553,1.0,
0.0,2022-04-09 10:25:22.764,2022-04-05 09:36:30.831,0.0,0.0,3.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,666de2b9-64fd-4391-8441-894133e76db2,45e8158a-9d57-479f-a723-841abf0cd535,0.0,
0.0,2022-04-09 13:09:06.087,2022-04-09 13:09:06.087,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,83dc0dd1-543c-4a98-aded-7a2bd068b225,9b06579a-b583-480a-8ef0-2aa163724242,1.0,
0.0,2022-04-15 19:53:56.105,2022-04-15 19:53:56.105,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,76ef2e83-d3a8-4bb5-bf81-da61a0efe093,d4ed5b0a-3f72-4cda-a1bc-176d595f0169,0.0,
0.0,2022-04-15 19:53:56.089,2022-04-05 20:55:26.646,0.0,2.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,c8f8df1c-81f6-4b84-b11d-5426724a3495,5afbf8e8-9cb6-4844-a297-8632748f4738,0.0,
0.0,2022-04-10 08:00:07.594,2022-04-10 08:00:07.594,0.0,0.0,1.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,7e0b7eff-4922-4a54-8f2a-6421f9eb767a,7409e369-76ba-4b1a-b4c6-e6f020fbc09f,0.0,
0.0,2022-04-11 05:59:02.978,2022-04-11 05:59:02.978,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,b52b667e-8e2c-4429-8dab-4488f4aced07,609f8514-84b9-4c69-adff-3b24489e6344,0.0,
0.0,2022-04-13 07:10:15.449,2022-04-11 19:00:20.138,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,cb418ae4-4843-4292-93ac-33b4630e32d8,2d86d69b-8956-44ee-8eac-bbb646cc8b7f,1.0,
